2025/02/11-02:00:17.683,CacheGateSessionHandler.cpp,138,(debug),[cg], relay recv, client(wid:0) -> cached(wid:7801), tid:0x000000000000003C, recvDataSize:46
2025/02/11-02:00:17.683,CacheGateSessionHandler.cpp,171,(debug),[cg], relay send, client(wid:0) -> cached(wid:7801), tid:0x000000000000003C, sendDataSize:46
2025/02/11-02:00:17.683,CacheGateSessionHandler.cpp,148,(debug),[cg], relay recv, client(wid:0) <- cached(wid:7801), tid:0x000000000000003C, recvDataSize:46
2025/02/11-02:00:17.684,CacheGateSessionHandler.cpp,175,(debug),[cg], relay send, client(wid:0) <- cached(wid:7801), tid:0x000000000000003C, sendDataSize:46
2025/02/11-02:01:17.684,CacheGateSessionHandler.cpp,138,(debug),[cg], relay recv, client(wid:0) -> cached(wid:7801), tid:0x000000000000003D, recvDataSize:46
2025/02/11-02:01:17.685,CacheGateSessionHandler.cpp,171,(debug),[cg], relay send, client(wid:0) -> cached(wid:7801), tid:0x000000000000003D, sendDataSize:46
2025/02/11-02:01:17.685,CacheGateSessionHandler.cpp,148,(debug),[cg], relay recv, client(wid:0) <- cached(wid:7801), tid:0x000000000000003D, recvDataSize:46
2025/02/11-02:01:17.685,CacheGateSessionHandler.cpp,175,(debug),[cg], relay send, client(wid:0) <- cached(wid:7801), tid:0x000000000000003D, sendDataSize:46
2025/02/11-02:02:17.689,CacheGateSessionHandler.cpp,138,(debug),[cg], relay recv, client(wid:0) -> cached(wid:7801), tid:0x000000000000003E, recvDataSize:46
2025/02/11-02:02:17.689,CacheGateSessionHandler.cpp,171,(debug),[cg], relay send, client(wid:0) -> cached(wid:7801), tid:0x000000000000003E, sendDataSize:46
2025/02/11-02:02:17.689,CacheGateSessionHandler.cpp,148,(debug),[cg], relay recv, client(wid:0) <- cached(wid:7801), tid:0x000000000000003E, recvDataSize:46
2025/02/11-02:02:17.689,CacheGateSessionHandler.cpp,175,(debug),[cg], relay send, client(wid:0) <- cached(wid:7801), tid:0x000000000000003E, sendDataSize:46
2025/02/11-02:03:17.684,CacheGateSessionHandler.cpp,138,(debug),[cg], relay recv, client(wid:0) -> cached(wid:7801), tid:0x000000000000003F, recvDataSize:46
2025/02/11-02:03:17.684,CacheGateSessionHandler.cpp,171,(debug),[cg], relay send, client(wid:0) -> cached(wid:7801), tid:0x000000000000003F, sendDataSize:46
2025/02/11-02:03:17.684,CacheGateSessionHandler.cpp,148,(debug),[cg], relay recv, client(wid:0) <- cached(wid:7801), tid:0x000000000000003F, recvDataSize:46
2025/02/11-02:03:17.684,CacheGateSessionHandler.cpp,175,(debug),[cg], relay send, client(wid:0) <- cached(wid:7801), tid:0x000000000000003F, sendDataSize:46
2025/02/11-02:04:17.669,CacheGateSessionHandler.cpp,138,(debug),[cg], relay recv, client(wid:0) -> cached(wid:7801), tid:0x0000000000000040, recvDataSize:46
2025/02/11-02:04:17.669,CacheGateSessionHandler.cpp,171,(debug),[cg], relay send, client(wid:0) -> cached(wid:7801), tid:0x0000000000000040, sendDataSize:46
2025/02/11-02:04:17.669,CacheGateSessionHandler.cpp,148,(debug),[cg], relay recv, client(wid:0) <- cached(wid:7801), tid:0x0000000000000040, recvDataSize:46
2025/02/11-02:04:17.669,CacheGateSessionHandler.cpp,175,(debug),[cg], relay send, client(wid:0) <- cached(wid:7801), tid:0x0000000000000040, sendDataSize:46
2025/02/11-02:04:41.801,CacheDChannel.cpp,107,(debug),Session(200000001), Cached channel(1E79) trying to reconnect
2025/02/11-02:04:41.801,Session.cpp,515,(debug),[session], trying to reconnect after 5000 msec, id:200000001, this:0000000002B50000, addr:(192.168.1.8:20202)
2025/02/11-02:04:41.801,Session.cpp,694,(debug),[session], close called; don't remove session, id:200000001, this:0000000002B50000, state:4
