2025/02/11-01:01:25.801,Daemon.cpp,483,(debug),[market_dealerd], Starting, daemon: Blade&Soul Market Dealer Daemon, version: 0.0.210.358, desc: Blade&Soul Market Dealer Daemon
2025/02/11-01:01:25.802,Daemon.cpp,484,(debug),[market_dealerd], Network Configuration, daemon: Blade&Soul Market Dealer Daemon, hostname: DESKTOP-K8DLTUB, public: 0.0.0.0, internal: 192.168.1.8
2025/02/11-01:01:25.805,MarketDealerDaemon.cpp,225,(notice),[market dealerd], MarketDealerDaemon::initialize; daemon initialization success
2025/02/11-01:01:26.821,MarketDealerDaemon.cpp,263,(notice),[market dealerd], MarketDealerDaemon::initNetwork; network initialization success
2025/02/11-01:01:26.824,TaxRateDataManager.cpp,184,(debug),[tax rate data manager], TaxRateDataManager::setSaleIncomeTaxRateTable; loaded sale income tax rate data, interval:0, taxRate:5, dataCount:1
2025/02/11-01:01:26.824,TaxRateDataManager.cpp,184,(debug),[tax rate data manager], TaxRateDataManager::setSaleIncomeTaxRateTable; loaded sale income tax rate data, interval:1000000, taxRate:6, dataCount:2
2025/02/11-01:01:26.824,TaxRateDataManager.cpp,184,(debug),[tax rate data manager], TaxRateDataManager::setSaleIncomeTaxRateTable; loaded sale income tax rate data, interval:10000000, taxRate:7, dataCount:3
2025/02/11-01:01:26.824,TaxRateDataManager.cpp,184,(debug),[tax rate data manager], TaxRateDataManager::setSaleIncomeTaxRateTable; loaded sale income tax rate data, interval:100000000, taxRate:8, dataCount:4
2025/02/11-01:01:26.983,TaxRateDataManager.cpp,195,(debug),[tax rate data manager], TaxRateDataManager::setSaleIncomeTaxRateTable; succeeded to set sale income tax rate table
2025/02/11-01:01:26.983,TaxRateDataManager.cpp,100,(notice),[tax rate data manager], TaxRateDataManager::SetTaxRateTable; succeeded to set sale income tax rate table, filePath:C:\Service\MarketDealerDaemon\data\MarketSaleIncomeTaxRateData.xml
2025/02/11-01:01:26.985,TaxRateDataManager.cpp,253,(debug),[tax rate data manager], TaxRateDataManager::setGrossIncomeTaxRateTable; loaded gross income tax rate data, interval:0, taxRate:0, dataCount:1
2025/02/11-01:01:26.985,TaxRateDataManager.cpp,253,(debug),[tax rate data manager], TaxRateDataManager::setGrossIncomeTaxRateTable; loaded gross income tax rate data, interval:10000000, taxRate:1, dataCount:2
2025/02/11-01:01:26.985,TaxRateDataManager.cpp,253,(debug),[tax rate data manager], TaxRateDataManager::setGrossIncomeTaxRateTable; loaded gross income tax rate data, interval:100000000, taxRate:2, dataCount:3
2025/02/11-01:01:26.985,TaxRateDataManager.cpp,253,(debug),[tax rate data manager], TaxRateDataManager::setGrossIncomeTaxRateTable; loaded gross income tax rate data, interval:500000000, taxRate:3, dataCount:4
2025/02/11-01:01:27.004,TaxRateDataManager.cpp,264,(debug),[tax rate data manager], TaxRateDataManager::setGrossIncomeTaxRateTable; succeeded to set gross income tax rate table
2025/02/11-01:01:27.004,TaxRateDataManager.cpp,113,(notice),[tax rate data manager], TaxRateDataManager::SetTaxRateTable; succeeded to set gross income tax rate table, filePath:C:\Service\MarketDealerDaemon\data\MarketGrossIncomeTaxRateData.xml
2025/02/11-01:01:27.010,MarketDealerDaemon.cpp,369,(debug),[market dealerd], MarketDealerDaemon::loadAllDataFromDB; finished to reset uncompleted delivery status, resetCount:0
2025/02/11-01:01:27.023,MarketDealerDaemon.cpp,380,(debug),[market dealerd], MarketDealerDaemon::loadAllDataFromDB; finished to load sale list, sale-count:0
2025/02/11-01:01:27.034,MarketDealerDaemon.cpp,391,(debug),[market dealerd], MarketDealerDaemon::loadAllDataFromDB; finished to load bid list
2025/02/11-01:01:27.040,MarketDealerDaemon.cpp,402,(debug),[market dealerd], MarketDealerDaemon::loadAllDataFromDB; finished to load purchase list
2025/02/11-01:01:27.052,MarketDealerDaemon.cpp,413,(debug),[market dealerd], MarketDealerDaemon::loadAllDataFromDB; finished to load delivery list, delivery-count:0
2025/02/11-01:01:27.052,MarketDealerDaemon.cpp,418,(notice),[market dealerd], MarketDealerDaemon::loadAllDataFromDB; database loading time:0sec
2025/02/11-01:01:27.052,MarketDealerDaemon.cpp,429,(notice),[market dealerd], MarketDealerDaemon::openListenPort; opened agent port successfully, portId:1, portNumber:20300
2025/02/11-01:01:27.052,MarketDealerDaemon.cpp,435,(notice),[market dealerd], MarketDealerDaemon::openListenPort; opened manager port successfully, portId:2, portNumber:30300
2025/02/11-01:01:27.052,MarketDealerDaemon.cpp,286,(notice),[market dealerd], MarketDealerDaemon::onStart; service ready
2025/02/11-01:01:27.053,Daemon.cpp,530,(debug),[market_dealerd], start, daemon: Blade&Soul Market Dealer Daemon, version: 0.0.210.358, loading time: 1281
2025/02/11-01:01:28.055,TimeoutTimer.cpp,27,(debug),[timeout timer], TimeoutTimer::HandleEvent; <BEGIN TIMER HANDLER>
2025/02/11-01:01:28.055,TimeoutTimer.cpp,31,(debug),[timeout timer], TimeoutTimer::HandleEvent; <END TIMER HANDLER>
2025/02/11-01:01:28.055,DeliveryTimer.cpp,25,(debug),[delivery timer], DeliveryTimer::HandleEvent; <BEGIN TIMER HANDLER>
2025/02/11-01:01:28.055,DeliveryTimer.cpp,48,(debug),[delivery timer], DeliveryTimer::checkDelivery; market agent is not connecting; cannot send packet; timer will try to send at next time again
2025/02/11-01:01:28.055,DeliveryTimer.cpp,29,(debug),[delivery timer], DeliveryTimer::HandleEvent; <END TIMER HANDLER>
2025/02/11-01:01:28.985,Port.cpp,648,(debug),[session], created, port-id:1, session-id:100000001, session:0000000002F60000
2025/02/11-01:01:28.985,AgentChannel.cpp,112,(notice),[agent channel], AgentSessionHandler::OnAccept; accepted agent session, sessionId:0x100000001, portId:1, sessionIndex:1
2025/02/11-01:01:28.985,Session.cpp,471,(debug),[session], accepted from, port id: 1, session id:100000001, this:0000000002F60000, ip:192.168.1.8, port:55481, socket:000000000000058C
2025/02/11-01:01:28.985,AgentPacketHandler.cpp,39,(debug),[agent packet handler], HandleMarketDealerHelloReq; <BEGIN PACKET HANDLER>
