2025/02/11-02:00:08.059,TimeoutTimer.cpp,27,(debug),[timeout timer], TimeoutTimer::HandleEvent; <BEGIN TIMER HANDLER>
2025/02/11-02:00:08.059,TimeoutTimer.cpp,31,(debug),[timeout timer], TimeoutTimer::HandleEvent; <END TIMER HANDLER>
2025/02/11-02:00:28.054,DeliveryTimer.cpp,25,(debug),[delivery timer], DeliveryTimer::HandleEvent; <BEGIN TIMER HANDLER>
2025/02/11-02:00:28.054,TimeoutTimer.cpp,27,(debug),[timeout timer], TimeoutTimer::HandleEvent; <BEGIN TIMER HANDLER>
2025/02/11-02:00:28.054,DeliveryTimer.cpp,29,(debug),[delivery timer], DeliveryTimer::HandleEvent; <END TIMER HANDLER>
2025/02/11-02:00:28.054,TimeoutTimer.cpp,31,(debug),[timeout timer], TimeoutTimer::HandleEvent; <END TIMER HANDLER>
2025/02/11-02:00:48.059,TimeoutTimer.cpp,27,(debug),[timeout timer], TimeoutTimer::HandleEvent; <BEGIN TIMER HANDLER>
2025/02/11-02:00:48.059,TimeoutTimer.cpp,31,(debug),[timeout timer], TimeoutTimer::HandleEvent; <END TIMER HANDLER>
2025/02/11-02:01:08.058,TimeoutTimer.cpp,27,(debug),[timeout timer], TimeoutTimer::HandleEvent; <BEGIN TIMER HANDLER>
2025/02/11-02:01:08.058,TimeoutTimer.cpp,31,(debug),[timeout timer], TimeoutTimer::HandleEvent; <END TIMER HANDLER>
2025/02/11-02:01:28.054,TimeoutTimer.cpp,27,(debug),[timeout timer], TimeoutTimer::HandleEvent; <BEGIN TIMER HANDLER>
2025/02/11-02:01:28.054,TimeoutTimer.cpp,31,(debug),[timeout timer], TimeoutTimer::HandleEvent; <END TIMER HANDLER>
2025/02/11-02:01:28.054,DeliveryTimer.cpp,25,(debug),[delivery timer], DeliveryTimer::HandleEvent; <BEGIN TIMER HANDLER>
2025/02/11-02:01:28.054,DeliveryTimer.cpp,29,(debug),[delivery timer], DeliveryTimer::HandleEvent; <END TIMER HANDLER>
2025/02/11-02:01:48.066,TimeoutTimer.cpp,27,(debug),[timeout timer], TimeoutTimer::HandleEvent; <BEGIN TIMER HANDLER>
2025/02/11-02:01:48.066,TimeoutTimer.cpp,31,(debug),[timeout timer], TimeoutTimer::HandleEvent; <END TIMER HANDLER>
2025/02/11-02:02:08.055,TimeoutTimer.cpp,27,(debug),[timeout timer], TimeoutTimer::HandleEvent; <BEGIN TIMER HANDLER>
2025/02/11-02:02:08.055,TimeoutTimer.cpp,31,(debug),[timeout timer], TimeoutTimer::HandleEvent; <END TIMER HANDLER>
2025/02/11-02:02:28.067,DeliveryTimer.cpp,25,(debug),[delivery timer], DeliveryTimer::HandleEvent; <BEGIN TIMER HANDLER>
2025/02/11-02:02:28.067,DeliveryTimer.cpp,29,(debug),[delivery timer], DeliveryTimer::HandleEvent; <END TIMER HANDLER>
2025/02/11-02:02:28.067,TimeoutTimer.cpp,27,(debug),[timeout timer], TimeoutTimer::HandleEvent; <BEGIN TIMER HANDLER>
2025/02/11-02:02:28.067,TimeoutTimer.cpp,31,(debug),[timeout timer], TimeoutTimer::HandleEvent; <END TIMER HANDLER>
2025/02/11-02:02:48.059,TimeoutTimer.cpp,27,(debug),[timeout timer], TimeoutTimer::HandleEvent; <BEGIN TIMER HANDLER>
2025/02/11-02:02:48.059,TimeoutTimer.cpp,31,(debug),[timeout timer], TimeoutTimer::HandleEvent; <END TIMER HANDLER>
2025/02/11-02:03:08.043,TimeoutTimer.cpp,27,(debug),[timeout timer], TimeoutTimer::HandleEvent; <BEGIN TIMER HANDLER>
2025/02/11-02:03:08.043,TimeoutTimer.cpp,31,(debug),[timeout timer], TimeoutTimer::HandleEvent; <END TIMER HANDLER>
2025/02/11-02:03:28.062,DeliveryTimer.cpp,25,(debug),[delivery timer], DeliveryTimer::HandleEvent; <BEGIN TIMER HANDLER>
2025/02/11-02:03:28.062,DeliveryTimer.cpp,29,(debug),[delivery timer], DeliveryTimer::HandleEvent; <END TIMER HANDLER>
2025/02/11-02:03:28.062,TimeoutTimer.cpp,27,(debug),[timeout timer], TimeoutTimer::HandleEvent; <BEGIN TIMER HANDLER>
2025/02/11-02:03:28.062,TimeoutTimer.cpp,31,(debug),[timeout timer], TimeoutTimer::HandleEvent; <END TIMER HANDLER>
2025/02/11-02:03:48.059,TimeoutTimer.cpp,27,(debug),[timeout timer], TimeoutTimer::HandleEvent; <BEGIN TIMER HANDLER>
2025/02/11-02:03:48.059,TimeoutTimer.cpp,31,(debug),[timeout timer], TimeoutTimer::HandleEvent; <END TIMER HANDLER>
2025/02/11-02:04:08.060,TimeoutTimer.cpp,27,(debug),[timeout timer], TimeoutTimer::HandleEvent; <BEGIN TIMER HANDLER>
2025/02/11-02:04:08.060,TimeoutTimer.cpp,31,(debug),[timeout timer], TimeoutTimer::HandleEvent; <END TIMER HANDLER>
2025/02/11-02:04:28.055,TimeoutTimer.cpp,27,(debug),[timeout timer], TimeoutTimer::HandleEvent; <BEGIN TIMER HANDLER>
2025/02/11-02:04:28.055,TimeoutTimer.cpp,31,(debug),[timeout timer], TimeoutTimer::HandleEvent; <END TIMER HANDLER>
2025/02/11-02:04:28.055,DeliveryTimer.cpp,25,(debug),[delivery timer], DeliveryTimer::HandleEvent; <BEGIN TIMER HANDLER>
2025/02/11-02:04:28.056,DeliveryTimer.cpp,29,(debug),[delivery timer], DeliveryTimer::HandleEvent; <END TIMER HANDLER>
2025/02/11-02:04:43.352,AgentChannel.cpp,136,(notice),[agent channel], AgentSessionHandler::OnClose; closed connection with market agent session, agentWid:11030, sessionId:0x100000001, portId:1, sessionIndex:1
2025/02/11-02:04:43.352,Session.cpp,689,(debug),[session], close called; remove session, id:100000001, this:0000000002F60000, state:0
2025/02/11-02:04:43.352,Port.cpp,476,(debug),[session], removed, port-id:1, session-id:100000001, session:0000000002F60000
