2025/02/11-02:00:01.683,RelayTimeoutChecker.cpp,24,(debug),[relay timeout checker], RelayTimeoutChecker::HandleEvent; <BEGIN TIMER HANDLER>
2025/02/11-02:00:01.683,RelayTimeoutChecker.cpp,28,(debug),[relay timeout checker], RelayTimeoutChecker::HandleEvent; <END TIMER HANDLER>
2025/02/11-02:00:02.676,UnsentPostChecker.cpp,23,(debug),[unsent post checker], UnsentPostChecker::HandleEvent; <BEGIN TIMER HANDLER>
2025/02/11-02:00:02.676,UnsentPostChecker.cpp,27,(debug),[unsent post checker], UnsentPostChecker::HandleEvent; <END TIMER HANDLER>
2025/02/11-02:00:02.676,RelayTimeoutChecker.cpp,24,(debug),[relay timeout checker], RelayTimeoutChecker::HandleEvent; <BEGIN TIMER HANDLER>
2025/02/11-02:00:02.676,RelayTimeoutChecker.cpp,28,(debug),[relay timeout checker], RelayTimeoutChecker::HandleEvent; <END TIMER HANDLER>
2025/02/11-02:00:03.685,RelayTimeoutChecker.cpp,24,(debug),[relay timeout checker], RelayTimeoutChecker::HandleEvent; <BEGIN TIMER HANDLER>
2025/02/11-02:00:03.685,RelayTimeoutChecker.cpp,28,(debug),[relay timeout checker], RelayTimeoutChecker::HandleEvent; <END TIMER HANDLER>
2025/02/11-02:00:04.679,RelayTimeoutChecker.cpp,24,(debug),[relay timeout checker], RelayTimeoutChecker::HandleEvent; <BEGIN TIMER HANDLER>
2025/02/11-02:00:04.679,RelayTimeoutChecker.cpp,28,(debug),[relay timeout checker], RelayTimeoutChecker::HandleEvent; <END TIMER HANDLER>
2025/02/11-02:00:05.694,RelayTimeoutChecker.cpp,24,(debug),[relay timeout checker], RelayTimeoutChecker::HandleEvent; <BEGIN TIMER HANDLER>
2025/02/11-02:00:05.694,RelayTimeoutChecker.cpp,28,(debug),[relay timeout checker], RelayTimeoutChecker::HandleEvent; <END TIMER HANDLER>
2025/02/11-02:00:06.692,RelayTimeoutChecker.cpp,24,(debug),[relay timeout checker], RelayTimeoutChecker::HandleEvent; <BEGIN TIMER HANDLER>
2025/02/11-02:00:06.692,RelayTimeoutChecker.cpp,28,(debug),[relay timeout checker], RelayTimeoutChecker::HandleEvent; <END TIMER HANDLER>
2025/02/11-02:00:07.686,UnsentPostChecker.cpp,23,(debug),[unsent post checker], UnsentPostChecker::HandleEvent; <BEGIN TIMER HANDLER>
2025/02/11-02:00:07.686,UnsentPostChecker.cpp,27,(debug),[unsent post checker], UnsentPostChecker::HandleEvent; <END TIMER HANDLER>
2025/02/11-02:00:07.686,RelayTimeoutChecker.cpp,24,(debug),[relay timeout checker], RelayTimeoutChecker::HandleEvent; <BEGIN TIMER HANDLER>
2025/02/11-02:00:07.686,RelayTimeoutChecker.cpp,28,(debug),[relay timeout checker], RelayTimeoutChecker::HandleEvent; <END TIMER HANDLER>
2025/02/11-02:00:08.675,RelayTimeoutChecker.cpp,24,(debug),[relay timeout checker], RelayTimeoutChecker::HandleEvent; <BEGIN TIMER HANDLER>
2025/02/11-02:00:08.675,RelayTimeoutChecker.cpp,28,(debug),[relay timeout checker], RelayTimeoutChecker::HandleEvent; <END TIMER HANDLER>
2025/02/11-02:00:09.689,RelayTimeoutChecker.cpp,24,(debug),[relay timeout checker], RelayTimeoutChecker::HandleEvent; <BEGIN TIMER HANDLER>
2025/02/11-02:00:09.689,RelayTimeoutChecker.cpp,28,(debug),[relay timeout checker], RelayTimeoutChecker::HandleEvent; <END TIMER HANDLER>
2025/02/11-02:00:10.684,RelayTimeoutChecker.cpp,24,(debug),[relay timeout checker], RelayTimeoutChecker::HandleEvent; <BEGIN TIMER HANDLER>
2025/02/11-02:00:10.684,RelayTimeoutChecker.cpp,28,(debug),[relay timeout checker], RelayTimeoutChecker::HandleEvent; <END TIMER HANDLER>
2025/02/11-02:00:11.676,RelayTimeoutChecker.cpp,24,(debug),[relay timeout checker], RelayTimeoutChecker::HandleEvent; <BEGIN TIMER HANDLER>
2025/02/11-02:00:11.676,RelayTimeoutChecker.cpp,28,(debug),[relay timeout checker], RelayTimeoutChecker::HandleEvent; <END TIMER HANDLER>
2025/02/11-02:00:12.681,UnsentPostChecker.cpp,23,(debug),[unsent post checker], UnsentPostChecker::HandleEvent; <BEGIN TIMER HANDLER>
2025/02/11-02:00:12.681,RelayTimeoutChecker.cpp,24,(debug),[relay timeout checker], RelayTimeoutChecker::HandleEvent; <BEGIN TIMER HANDLER>
2025/02/11-02:00:12.681,UnsentPostChecker.cpp,27,(debug),[unsent post checker], UnsentPostChecker::HandleEvent; <END TIMER HANDLER>
2025/02/11-02:00:12.681,RelayTimeoutChecker.cpp,28,(debug),[relay timeout checker], RelayTimeoutChecker::HandleEvent; <END TIMER HANDLER>
2025/02/11-02:00:13.687,RelayTimeoutChecker.cpp,24,(debug),[relay timeout checker], RelayTimeoutChecker::HandleEvent; <BEGIN TIMER HANDLER>
2025/02/11-02:00:13.687,RelayTimeoutChecker.cpp,28,(debug),[relay timeout checker], RelayTimeoutChecker::HandleEvent; <END TIMER HANDLER>
2025/02/11-02:00:14.681,RelayTimeoutChecker.cpp,24,(debug),[relay timeout checker], RelayTimeoutChecker::HandleEvent; <BEGIN TIMER HANDLER>
2025/02/11-02:00:14.681,RelayTimeoutChecker.cpp,28,(debug),[relay timeout checker], RelayTimeoutChecker::HandleEvent; <END TIMER HANDLER>
2025/02/11-02:00:15.683,RelayTimeoutChecker.cpp,24,(debug),[relay timeout checker], RelayTimeoutChecker::HandleEvent; <BEGIN TIMER HANDLER>
2025/02/11-02:00:15.683,RelayTimeoutChecker.cpp,28,(debug),[relay timeout checker], RelayTimeoutChecker::HandleEvent; <END TIMER HANDLER>
2025/02/11-02:00:16.675,RelayTimeoutChecker.cpp,24,(debug),[relay timeout checker], RelayTimeoutChecker::HandleEvent; <BEGIN TIMER HANDLER>
2025/02/11-02:00:16.675,RelayTimeoutChecker.cpp,28,(debug),[relay timeout checker], RelayTimeoutChecker::HandleEvent; <END TIMER HANDLER>
2025/02/11-02:00:17.683,PingGenerator.cpp,25,(debug),[ping generator], PingGenerator::HandleEvent; <BEGIN TIMER HANDLER>
2025/02/11-02:00:17.683,UnsentPostChecker.cpp,23,(debug),[unsent post checker], UnsentPostChecker::HandleEvent; <BEGIN TIMER HANDLER>
2025/02/11-02:00:17.683,RelayTimeoutChecker.cpp,24,(debug),[relay timeout checker], RelayTimeoutChecker::HandleEvent; <BEGIN TIMER HANDLER>
2025/02/11-02:00:17.683,RelayTimeoutChecker.cpp,28,(debug),[relay timeout checker], RelayTimeoutChecker::HandleEvent; <END TIMER HANDLER>
2025/02/11-02:00:17.683,UnsentPostChecker.cpp,27,(debug),[unsent post checker], UnsentPostChecker::HandleEvent; <END TIMER HANDLER>
2025/02/11-02:00:17.683,CacheGateChannel.cpp,115,(debug),[cachegate channel], CacheGateChannel::composeRelayHeader; composed relay header, fromWid:0, toWid:7801, relayTid:0x3C, hint:1031, reserved:0
2025/02/11-02:00:17.683,PingRelay.cpp,120,(debug),[relay context], PingRelayContext::ComposeRequestPacket; composed ping relay request packet, fromWid:0, toWid:7801, relayTid:0x3C, pingSeq:60
2025/02/11-02:00:17.683,PingRelay.cpp,39,(notice),[relay context], PingRelayContext::processRelayRequest; sent ping relay request, relayTid:0x3C
2025/02/11-02:00:17.683,PingGenerator.cpp,29,(debug),[ping generator], PingGenerator::HandleEvent; <END TIMER HANDLER>
2025/02/11-02:00:17.684,ThreadFreePacketPump.cpp,187,(debug),[packet-pump], post, 61
2025/02/11-02:00:17.684,ThreadFreePacketPump.cpp,87,(debug),[packet-pump], handle start, 61, session:0x0000000100000001, command:4
2025/02/11-02:00:17.684,CacheGatePacketHandler.cpp,73,(debug),[cachegate packet handler], HandleCacheGateRelay; <BEGIN PACKET HANDLER>
2025/02/11-02:00:17.684,CacheGatePacketHandler.cpp,89,(debug),[cachegate packet handler], HandleCacheGateRelay; decomposed packet, fromWid:7801, toWid:0, relayTid:0x3C, hint:1032, reserved:0, economyCmd:1032
2025/02/11-02:00:17.684,CacheEconomyPacketHandler.cpp,34,(debug),[cache economy packet handler], HandleCacheEconomyPingOk; <BEGIN PACKET HANDLER>
2025/02/11-02:00:17.684,CacheEconomyPacketHandler.cpp,49,(debug),[cache economy packet handler], HandleCacheEconomyPingOk; decomposed packet, fromWid:0, toWid:7801, relayTid:0x3C, pingSeq:60
2025/02/11-02:00:17.684,CacheEconomyPacketHandler.cpp,78,(debug),[cache economy packet handler], HandleCacheEconomyPingOk; <END PACKET HANDLER>
2025/02/11-02:00:17.684,CacheGatePacketHandler.cpp,105,(debug),[cachegate packet handler], HandleCacheGateRelay; <END PACKET HANDLER>
2025/02/11-02:00:17.684,ThreadFreePacketPump.cpp,93,(debug),[packet-pump], handle end, 61, session:0x0000000100000001, command:4
2025/02/11-02:00:18.676,RelayTimeoutChecker.cpp,24,(debug),[relay timeout checker], RelayTimeoutChecker::HandleEvent; <BEGIN TIMER HANDLER>
2025/02/11-02:00:18.676,RelayTimeoutChecker.cpp,28,(debug),[relay timeout checker], RelayTimeoutChecker::HandleEvent; <END TIMER HANDLER>
2025/02/11-02:00:19.684,RelayTimeoutChecker.cpp,24,(debug),[relay timeout checker], RelayTimeoutChecker::HandleEvent; <BEGIN TIMER HANDLER>
2025/02/11-02:00:19.684,RelayTimeoutChecker.cpp,28,(debug),[relay timeout checker], RelayTimeoutChecker::HandleEvent; <END TIMER HANDLER>
2025/02/11-02:00:20.670,RelayTimeoutChecker.cpp,24,(debug),[relay timeout checker], RelayTimeoutChecker::HandleEvent; <BEGIN TIMER HANDLER>
2025/02/11-02:00:20.670,RelayTimeoutChecker.cpp,28,(debug),[relay timeout checker], RelayTimeoutChecker::HandleEvent; <END TIMER HANDLER>
2025/02/11-02:00:21.675,RelayTimeoutChecker.cpp,24,(debug),[relay timeout checker], RelayTimeoutChecker::HandleEvent; <BEGIN TIMER HANDLER>
2025/02/11-02:00:21.675,RelayTimeoutChecker.cpp,28,(debug),[relay timeout checker], RelayTimeoutChecker::HandleEvent; <END TIMER HANDLER>
2025/02/11-02:00:22.675,UnsentPostChecker.cpp,23,(debug),[unsent post checker], UnsentPostChecker::HandleEvent; <BEGIN TIMER HANDLER>
2025/02/11-02:00:22.675,RelayTimeoutChecker.cpp,24,(debug),[relay timeout checker], RelayTimeoutChecker::HandleEvent; <BEGIN TIMER HANDLER>
2025/02/11-02:00:22.675,UnsentPostChecker.cpp,27,(debug),[unsent post checker], UnsentPostChecker::HandleEvent; <END TIMER HANDLER>
2025/02/11-02:00:22.675,RelayTimeoutChecker.cpp,28,(debug),[relay timeout checker], RelayTimeoutChecker::HandleEvent; <END TIMER HANDLER>
2025/02/11-02:00:23.679,RelayTimeoutChecker.cpp,24,(debug),[relay timeout checker], RelayTimeoutChecker::HandleEvent; <BEGIN TIMER HANDLER>
2025/02/11-02:00:23.679,RelayTimeoutChecker.cpp,28,(debug),[relay timeout checker], RelayTimeoutChecker::HandleEvent; <END TIMER HANDLER>
2025/02/11-02:00:24.688,RelayTimeoutChecker.cpp,24,(debug),[relay timeout checker], RelayTimeoutChecker::HandleEvent; <BEGIN TIMER HANDLER>
2025/02/11-02:00:24.688,RelayTimeoutChecker.cpp,28,(debug),[relay timeout checker], RelayTimeoutChecker::HandleEvent; <END TIMER HANDLER>
2025/02/11-02:00:25.684,RelayTimeoutChecker.cpp,24,(debug),[relay timeout checker], RelayTimeoutChecker::HandleEvent; <BEGIN TIMER HANDLER>
2025/02/11-02:00:25.684,RelayTimeoutChecker.cpp,28,(debug),[relay timeout checker], RelayTimeoutChecker::HandleEvent; <END TIMER HANDLER>
2025/02/11-02:00:26.684,RelayTimeoutChecker.cpp,24,(debug),[relay timeout checker], RelayTimeoutChecker::HandleEvent; <BEGIN TIMER HANDLER>
2025/02/11-02:00:26.684,RelayTimeoutChecker.cpp,28,(debug),[relay timeout checker], RelayTimeoutChecker::HandleEvent; <END TIMER HANDLER>
2025/02/11-02:00:27.671,RelayTimeoutChecker.cpp,24,(debug),[relay timeout checker], RelayTimeoutChecker::HandleEvent; <BEGIN TIMER HANDLER>
2025/02/11-02:00:27.671,UnsentPostChecker.cpp,23,(debug),[unsent post checker], UnsentPostChecker::HandleEvent; <BEGIN TIMER HANDLER>
2025/02/11-02:00:27.671,RelayTimeoutChecker.cpp,28,(debug),[relay timeout checker], RelayTimeoutChecker::HandleEvent; <END TIMER HANDLER>
2025/02/11-02:00:27.671,UnsentPostChecker.cpp,27,(debug),[unsent post checker], UnsentPostChecker::HandleEvent; <END TIMER HANDLER>
2025/02/11-02:00:28.684,RelayTimeoutChecker.cpp,24,(debug),[relay timeout checker], RelayTimeoutChecker::HandleEvent; <BEGIN TIMER HANDLER>
2025/02/11-02:00:28.684,RelayTimeoutChecker.cpp,28,(debug),[relay timeout checker], RelayTimeoutChecker::HandleEvent; <END TIMER HANDLER>
2025/02/11-02:00:29.674,RelayTimeoutChecker.cpp,24,(debug),[relay timeout checker], RelayTimeoutChecker::HandleEvent; <BEGIN TIMER HANDLER>
2025/02/11-02:00:29.674,RelayTimeoutChecker.cpp,28,(debug),[relay timeout checker], RelayTimeoutChecker::HandleEvent; <END TIMER HANDLER>
2025/02/11-02:00:30.688,RelayTimeoutChecker.cpp,24,(debug),[relay timeout checker], RelayTimeoutChecker::HandleEvent; <BEGIN TIMER HANDLER>
2025/02/11-02:00:30.688,RelayTimeoutChecker.cpp,28,(debug),[relay timeout checker], RelayTimeoutChecker::HandleEvent; <END TIMER HANDLER>
2025/02/11-02:00:31.675,RelayTimeoutChecker.cpp,24,(debug),[relay timeout checker], RelayTimeoutChecker::HandleEvent; <BEGIN TIMER HANDLER>
2025/02/11-02:00:31.675,RelayTimeoutChecker.cpp,28,(debug),[relay timeout checker], RelayTimeoutChecker::HandleEvent; <END TIMER HANDLER>
2025/02/11-02:00:32.688,UnsentPostChecker.cpp,23,(debug),[unsent post checker], UnsentPostChecker::HandleEvent; <BEGIN TIMER HANDLER>
2025/02/11-02:00:32.688,RelayTimeoutChecker.cpp,24,(debug),[relay timeout checker], RelayTimeoutChecker::HandleEvent; <BEGIN TIMER HANDLER>
2025/02/11-02:00:32.688,RelayTimeoutChecker.cpp,28,(debug),[relay timeout checker], RelayTimeoutChecker::HandleEvent; <END TIMER HANDLER>
2025/02/11-02:00:32.688,UnsentPostChecker.cpp,27,(debug),[unsent post checker], UnsentPostChecker::HandleEvent; <END TIMER HANDLER>
2025/02/11-02:00:33.678,RelayTimeoutChecker.cpp,24,(debug),[relay timeout checker], RelayTimeoutChecker::HandleEvent; <BEGIN TIMER HANDLER>
2025/02/11-02:00:33.678,RelayTimeoutChecker.cpp,28,(debug),[relay timeout checker], RelayTimeoutChecker::HandleEvent; <END TIMER HANDLER>
2025/02/11-02:00:34.691,RelayTimeoutChecker.cpp,24,(debug),[relay timeout checker], RelayTimeoutChecker::HandleEvent; <BEGIN TIMER HANDLER>
2025/02/11-02:00:34.691,RelayTimeoutChecker.cpp,28,(debug),[relay timeout checker], RelayTimeoutChecker::HandleEvent; <END TIMER HANDLER>
2025/02/11-02:00:35.680,RelayTimeoutChecker.cpp,24,(debug),[relay timeout checker], RelayTimeoutChecker::HandleEvent; <BEGIN TIMER HANDLER>
2025/02/11-02:00:35.680,RelayTimeoutChecker.cpp,28,(debug),[relay timeout checker], RelayTimeoutChecker::HandleEvent; <END TIMER HANDLER>
2025/02/11-02:00:36.693,RelayTimeoutChecker.cpp,24,(debug),[relay timeout checker], RelayTimeoutChecker::HandleEvent; <BEGIN TIMER HANDLER>
2025/02/11-02:00:36.693,RelayTimeoutChecker.cpp,28,(debug),[relay timeout checker], RelayTimeoutChecker::HandleEvent; <END TIMER HANDLER>
2025/02/11-02:00:37.690,RelayTimeoutChecker.cpp,24,(debug),[relay timeout checker], RelayTimeoutChecker::HandleEvent; <BEGIN TIMER HANDLER>
2025/02/11-02:00:37.690,UnsentPostChecker.cpp,23,(debug),[unsent post checker], UnsentPostChecker::HandleEvent; <BEGIN TIMER HANDLER>
2025/02/11-02:00:37.690,UnsentPostChecker.cpp,27,(debug),[unsent post checker], UnsentPostChecker::HandleEvent; <END TIMER HANDLER>
2025/02/11-02:00:37.690,RelayTimeoutChecker.cpp,28,(debug),[relay timeout checker], RelayTimeoutChecker::HandleEvent; <END TIMER HANDLER>
2025/02/11-02:00:38.682,RelayTimeoutChecker.cpp,24,(debug),[relay timeout checker], RelayTimeoutChecker::HandleEvent; <BEGIN TIMER HANDLER>
2025/02/11-02:00:38.682,RelayTimeoutChecker.cpp,28,(debug),[relay timeout checker], RelayTimeoutChecker::HandleEvent; <END TIMER HANDLER>
2025/02/11-02:00:39.692,RelayTimeoutChecker.cpp,24,(debug),[relay timeout checker], RelayTimeoutChecker::HandleEvent; <BEGIN TIMER HANDLER>
2025/02/11-02:00:39.692,RelayTimeoutChecker.cpp,28,(debug),[relay timeout checker], RelayTimeoutChecker::HandleEvent; <END TIMER HANDLER>
2025/02/11-02:00:40.680,RelayTimeoutChecker.cpp,24,(debug),[relay timeout checker], RelayTimeoutChecker::HandleEvent; <BEGIN TIMER HANDLER>
2025/02/11-02:00:40.680,RelayTimeoutChecker.cpp,28,(debug),[relay timeout checker], RelayTimeoutChecker::HandleEvent; <END TIMER HANDLER>
2025/02/11-02:00:41.686,RelayTimeoutChecker.cpp,24,(debug),[relay timeout checker], RelayTimeoutChecker::HandleEvent; <BEGIN TIMER HANDLER>
2025/02/11-02:00:41.686,RelayTimeoutChecker.cpp,28,(debug),[relay timeout checker], RelayTimeoutChecker::HandleEvent; <END TIMER HANDLER>
2025/02/11-02:00:42.679,UnsentPostChecker.cpp,23,(debug),[unsent post checker], UnsentPostChecker::HandleEvent; <BEGIN TIMER HANDLER>
2025/02/11-02:00:42.679,RelayTimeoutChecker.cpp,24,(debug),[relay timeout checker], RelayTimeoutChecker::HandleEvent; <BEGIN TIMER HANDLER>
2025/02/11-02:00:42.679,UnsentPostChecker.cpp,27,(debug),[unsent post checker], UnsentPostChecker::HandleEvent; <END TIMER HANDLER>
2025/02/11-02:00:42.679,RelayTimeoutChecker.cpp,28,(debug),[relay timeout checker], RelayTimeoutChecker::HandleEvent; <END TIMER HANDLER>
