2025/02/11-01:04:58.639,GameDaemon.cpp,2531,(debug),[gamed], SetTimeZoneBias, Name:SE Asia Standard Time
2025/02/11-01:04:58.639,GameDaemon.cpp,2545,(debug),[gamed], SetTimeZoneBias, bias(minutes):420
2025/02/11-01:04:58.704,Daemon.cpp,483,(debug),[gamed], Starting, daemon: Blade&Soul Arena Daemon, version: 0.0.210.6391, desc: Blade&Soul Arena Daemon
2025/02/11-01:04:58.704,Daemon.cpp,484,(debug),[gamed], Network Configuration, daemon: Blade&Soul Arena Daemon, hostname: DESKTOP-K8DLTUB, public: 192.168.1.8, internal: 192.168.1.8
2025/02/11-01:04:58.709,GameDaemon.cpp,1313,(debug),[gamed], TeamParty enabled
2025/02/11-01:04:58.709,DaemonConfig.cpp,132,(debug),[config], ==== path ====
2025/02/11-01:04:58.709,DaemonConfig.cpp,156,(debug),[config], root-path : C:\Service\ArenaDaemon01\
2025/02/11-01:04:58.709,DaemonConfig.cpp,156,(debug),[config], log-path : C:\log\ArenaDaemon01\
2025/02/11-01:04:58.709,DaemonConfig.cpp,156,(debug),[config], data-path : C:\Service\GameData\GameData_GARENA.zip
2025/02/11-01:04:58.709,DaemonConfig.cpp,132,(debug),[config], ==== certification ====
2025/02/11-01:04:58.709,DaemonConfig.cpp,164,(debug),[config], cert : N/A
2025/02/11-01:04:58.709,DaemonConfig.cpp,132,(debug),[config], ==== locale configuration ====
2025/02/11-01:04:58.709,DaemonConfig.cpp,156,(debug),[config], support-languages : default
2025/02/11-01:04:58.709,DaemonConfig.cpp,141,(debug),[config], log-codepage : 0
2025/02/11-01:04:58.709,DaemonConfig.cpp,132,(debug),[config], ==== publisher configuration ====
2025/02/11-01:04:58.709,DaemonConfig.cpp,156,(debug),[config], publisher : garena
2025/02/11-01:04:58.709,DaemonConfig.cpp,132,(debug),[config], ==== system configuration ====
2025/02/11-01:04:58.709,DaemonConfig.cpp,141,(debug),[config], worker-thread : 0
2025/02/11-01:04:58.709,DaemonConfig.cpp,141,(debug),[config], max-client : 50000
2025/02/11-01:04:58.709,DaemonConfig.cpp,141,(debug),[config], dump-type : 2
2025/02/11-01:04:58.709,DaemonConfig.cpp,144,(debug),[config], create-dump-before-stop : no
2025/02/11-01:04:58.709,DaemonConfig.cpp,141,(debug),[config], create-logfile-time-type : 1
2025/02/11-01:04:58.709,DaemonConfig.cpp,144,(debug),[config], word-filter-enable : yes
2025/02/11-01:04:58.709,DaemonConfig.cpp,144,(debug),[config], use-perf-provider : yes
2025/02/11-01:04:58.709,DaemonConfig.cpp,156,(debug),[config], use-perf-geozone : N/A
2025/02/11-01:04:58.709,DaemonConfig.cpp,141,(debug),[config], cooldown-disconnect-delay : 60
2025/02/11-01:04:58.709,DaemonConfig.cpp,141,(debug),[config], cooldown-complete-delay : 180
2025/02/11-01:04:58.709,DaemonConfig.cpp,144,(debug),[config], use-serializer-bug-fix-enable : no
2025/02/11-01:04:58.709,DaemonConfig.cpp,132,(debug),[config], ==== charge configuration ====
2025/02/11-01:04:58.709,DaemonConfig.cpp,141,(debug),[config], trial-play-limit-level : 15
2025/02/11-01:04:58.709,DaemonConfig.cpp,141,(debug),[config], trial-play-expired-close-wait-duration : 30
2025/02/11-01:04:58.709,DaemonConfig.cpp,132,(debug),[config], ==== network configuration ====
2025/02/11-01:04:58.709,DaemonConfig.cpp,156,(debug),[config], public-addr-range : 0.0.0.0/0
2025/02/11-01:04:58.709,DaemonConfig.cpp,156,(debug),[config], internal-addr-range : 0.0.0.0/0
2025/02/11-01:04:58.714,DaemonConfig.cpp,148,(debug),[config], service-addr : 58.187.125.245
2025/02/11-01:04:58.714,DaemonConfig.cpp,141,(debug),[config], public-port : 11900
2025/02/11-01:04:58.714,DaemonConfig.cpp,141,(debug),[config], internal-port : 21900
2025/02/11-01:04:58.714,DaemonConfig.cpp,141,(debug),[config], manage-port : 31900
2025/02/11-01:04:58.714,DaemonConfig.cpp,141,(debug),[config], builder-port : 41900
2025/02/11-01:04:58.714,DaemonConfig.cpp,156,(debug),[config], alert-send-address : 192.168.1.8:21102
2025/02/11-01:04:58.714,DaemonConfig.cpp,144,(debug),[config], max-idle-time-enable : yes
2025/02/11-01:04:58.714,DaemonConfig.cpp,144,(debug),[config], disconnect-after-idle-time : yes
2025/02/11-01:04:58.714,DaemonConfig.cpp,141,(debug),[config], max-idle-time : 70
2025/02/11-01:04:58.714,DaemonConfig.cpp,144,(debug),[config], transaction-expired-check-enable : yes
2025/02/11-01:04:58.714,DaemonConfig.cpp,141,(debug),[config], transaction-expired-duartion : 30000
2025/02/11-01:04:58.714,DaemonConfig.cpp,144,(debug),[config], manage-port-enable : no
2025/02/11-01:04:58.714,DaemonConfig.cpp,144,(debug),[config], use-nagle-client-port : no
2025/02/11-01:04:58.714,DaemonConfig.cpp,132,(debug),[config], ==== management daemon configuration ====
2025/02/11-01:04:58.714,DaemonConfig.cpp,144,(debug),[config], managementd-enable : yes
2025/02/11-01:04:58.714,DaemonConfig.cpp,141,(debug),[config], managementd-port : 21902
2025/02/11-01:04:58.714,DaemonConfig.cpp,132,(debug),[config], ==== petition daemon configuration ====
2025/02/11-01:04:58.714,DaemonConfig.cpp,144,(debug),[config], petitiond-enable : no
2025/02/11-01:04:58.715,DaemonConfig.cpp,148,(debug),[config], petitiond-address : 192.168.1.8
2025/02/11-01:04:58.715,DaemonConfig.cpp,141,(debug),[config], petitiond-port : 5107
2025/02/11-01:04:58.715,DaemonConfig.cpp,132,(debug),[config], ==== lobby configuration ====
2025/02/11-01:04:58.715,DaemonConfig.cpp,141,(debug),[config], lobby-port : 21800
2025/02/11-01:04:58.717,DaemonConfig.cpp,148,(debug),[config], lobby-address : 192.168.1.8
2025/02/11-01:04:58.717,DaemonConfig.cpp,132,(debug),[config], ==== cache daemon configuration ====
2025/02/11-01:04:58.717,DaemonConfig.cpp,141,(debug),[config], cached-port : 20201
